model,imgsz,fps,mota,idf1,mean_W,std_W,peak_W,delta_W,n_samples,fps_per_W
yolo26l.pt,320,2.5,0.405,0.464,,,,,,
yolo26l.pt,384,1.8,0.403,0.474,,,,,,
yolo26l.pt,448,1.4,0.407,0.51,,,,,,
yolo26l.pt,512,1.1,0.403,0.499,,,,,,
yolo26l.pt,576,0.8,0.407,0.517,8.252,1.008,10.963,4.718,435.0,0.1
yolo26l.pt,640,0.6,0.407,0.541,8.12,0.999,11.291,4.586,434.0,0.07
yolo26m.pt,320,3.1,0.384,0.441,,,,,,
yolo26m.pt,384,2.3,0.391,0.461,,,,,,
yolo26m.pt,448,1.7,0.404,0.49,,,,,,
yolo26m.pt,512,1.3,0.422,0.508,,,,,,
yolo26m.pt,576,1.0,0.428,0.516,8.083,0.932,10.613,4.55,376.0,0.12
yolo26m.pt,640,0.8,0.422,0.518,8.048,0.998,10.89,4.514,434.0,0.1
yolo26n.pt,320,16.6,0.294,0.344,,,,,,
yolo26n.pt,384,13.0,0.305,0.354,,,,,,
yolo26n.pt,448,10.2,0.324,0.377,,,,,,
yolo26n.pt,512,8.1,0.343,0.402,,,,,,
yolo26n.pt,576,6.3,0.359,0.448,7.091,0.472,8.737,3.557,57.0,0.89
yolo26n.pt,640,5.2,0.368,0.453,7.178,0.607,8.684,3.644,71.0,0.72
yolo26s.pt,320,7.2,0.376,0.411,,,,,,
yolo26s.pt,384,5.6,0.39,0.427,,,,,,
yolo26s.pt,448,4.3,0.38,0.455,,,,,,
yolo26s.pt,512,3.3,0.391,0.464,,,,,,
yolo26s.pt,576,2.5,0.395,0.508,7.465,0.659,10.258,3.931,147.0,0.33
yolo26s.pt,640,2.0,0.408,0.512,7.523,0.826,10.629,3.99,178.0,0.27
yolo26x.pt,320,1.3,0.405,0.462,,,,,,
yolo26x.pt,384,1.0,0.391,0.483,,,,,,
yolo26x.pt,448,0.7,0.399,0.503,,,,,,
yolo26x.pt,512,0.6,0.417,0.502,,,,,,
yolo26x.pt,576,0.4,0.428,0.534,8.45,1.163,12.581,4.916,434.0,0.05
yolo26x.pt,640,0.3,0.421,0.531,8.581,1.215,11.913,5.047,434.0,0.03
