device,variant,imgsz,fps,p95_ms,mem_mb,power_w,mota,idsw_per_gt_track,mostly_tracked_ratio,row_type,eval_fps
"Ref. (FP32, 30 FPS)*",N,640,,,,,0.32316402276962986,0.6392405063291139,0.21518987341772153,reference,
RPi 5 CPU,N,640,13.066666666666668,85.31,420.7,8.6578,0.3182153946505039,0.5222929936305732,0.20382165605095542,device,13.0
RPi 5 NPU †,N,640,46.03333333333333,22.24,222.4333333333333,5.8735,0.24808744621003476,0.4936708860759494,0.10126582278481013,device,30.0
RPi 4,N,640,2.1,511.22333333333336,302.76666666666665,4.7643,0.17639557603605055,0.7207792207792207,0.07792207792207792,device,2.0
Jetson Nano,N,640,7.466666666666666,136.22,1708.4333333333334,6.9296,0.30780665283513337,0.5031847133757962,0.18471337579617833,device,7.0
Jetson Nano TRT,N,640,9.866666666666667,106.59666666666668,1164.3333333333333,8.0092,0.2720379770446452,0.46496815286624205,0.1337579617834395,device,9.0
Arduino Uno Q,N,640,2.5,462.45666666666665,321.23333333333335,2.3698,0.17639557603605055,0.7207792207792207,0.07792207792207792,device,2.0
"Ref. (FP32, 30 FPS)*",N,576,,,,,0.2994118224030717,0.6518987341772152,0.20253164556962025,reference,
RPi 5 CPU,N,576,16.666666666666668,66.58999999999999,420.76666666666665,8.6412,0.29924790080228125,0.5632911392405063,0.1962025316455696,device,16.0
RPi 5 NPU †,N,576,51.13333333333333,19.956666666666667,218.33333333333334,5.9043,0.2453945402141042,0.6139240506329114,0.08227848101265822,device,30.0
RPi 4,N,576,2.5,428.19,302.8,4.8732,0.16782714045715288,0.6493506493506493,0.06493506493506493,device,2.0
Jetson Nano,N,576,9.166666666666666,112.75666666666666,1705.7333333333333,7.0832,0.29298722049273956,0.535031847133758,0.18471337579617833,device,9.0
Jetson Nano TRT,N,576,11.533333333333333,91.05333333333334,1158.7333333333333,6.4289,0.25764005963384184,0.4394904458598726,0.12738853503184713,device,11.0
Arduino Uno Q,N,576,3.266666666666667,354.74333333333334,321.56666666666666,2.3498,0.21165488835930216,0.5096774193548387,0.0967741935483871,device,3.0
"Ref. (FP32, 30 FPS)*",S,640,,,,,0.37466974755878124,0.4873417721518987,0.2721518987341772,reference,
RPi 5 CPU,S,640,5.7,193.42666666666665,420.8,9.5856,0.35031369425475034,0.6305732484076433,0.21019108280254778,device,5.0
RPi 5 NPU †,S,640,30.866666666666664,33.656666666666666,219.53333333333333,5.6271,0.3595070791023595,0.4177215189873418,0.2088607594936709,device,30.0
RPi 4,S,640,0.9,1104.7433333333333,302.93333333333334,4.9042,0.13615031996320875,0.5866666666666667,0.06666666666666667,device,1.0
Jetson Nano,S,640,4.333333333333333,234.15333333333334,1730.6000000000001,7.8814,0.32745206032181595,0.7261146496815286,0.1910828025477707,device,4.0
Jetson Nano TRT,S,640,5.066666666666666,202.01,1163.2,8.2432,0.36690619691732307,0.6560509554140127,0.19745222929936307,device,5.0
Arduino Uno Q,S,640,1.0,1136.21,321.56666666666666,2.8238,0.13615031996320875,0.5866666666666667,0.06666666666666667,device,1.0
"Ref. (FP32, 30 FPS)*",S,576,,,,,0.35107803818104644,0.6265822784810127,0.26582278481012656,reference,
RPi 5 CPU,S,576,7.3,153.25333333333333,420.76666666666665,9.5419,0.3373189233594436,0.5477707006369427,0.22929936305732485,device,7.0
RPi 5 NPU †,S,576,32.0,31.94,219.4333333333333,5.7523,0.3347859445012571,0.33544303797468356,0.18354430379746836,device,30.0
RPi 4,S,576,1.1333333333333335,892.7199999999999,303.2,5.0041,0.1330224720356817,0.56,0.08666666666666667,device,1.0
Jetson Nano,S,576,5.066666666666666,200.41333333333333,1721.8,7.9028,0.3151221684602863,0.7643312101910829,0.1910828025477707,device,5.0
Jetson Nano TRT,S,576,6.033333333333334,170.39333333333332,1159.7,7.6213,0.35059690457691417,0.6050955414012739,0.15286624203821655,device,6.0
Arduino Uno Q,S,576,1.2666666666666666,876.2433333333333,321.56666666666666,2.8087,0.1330224720356817,0.56,0.08666666666666667,device,1.0
"Ref. (FP32, 30 FPS)*",M,640,,,,,0.3804541088674753,0.43670886075949367,0.26582278481012656,reference,
RPi 5 CPU,M,640,1.8,580.1233333333333,420.76666666666665,10.2812,0.1438805581506398,0.5933333333333334,0.07333333333333333,device,1.0
RPi 5 NPU †,M,640,18.133333333333333,55.92666666666667,237.9333333333333,5.2581,0.3583656204212324,0.22151898734177214,0.189873417721519,device,18.0
RPi 4,M,640,0.20000000000000004,4245.536666666667,303.2,4.891,0.1438805581506398,0.5933333333333334,0.07333333333333333,device,1.0
Jetson Nano,M,640,2.0,497.47,1746.6333333333332,8.8061,0.2196139007988841,0.8311688311688312,0.11688311688311688,device,2.0
Jetson Nano TRT,M,640,2.2,454.23333333333335,1158.1666666666667,9.1672,0.29303806067727045,0.7337662337662337,0.11688311688311688,device,2.0
Arduino Uno Q,M,640,0.3,3312.14,321.56666666666666,3.0017,0.1438805581506398,0.5933333333333334,0.07333333333333333,device,1.0
"Ref. (FP32, 30 FPS)*",M,576,,,,,0.3762105508732504,0.4873417721518987,0.26582278481012656,reference,
RPi 5 CPU,M,576,2.3,444.55333333333334,420.8,10.3052,0.195956045901636,0.8376623376623377,0.12337662337662338,device,2.0
RPi 5 NPU †,M,576,19.933333333333334,50.81333333333333,231.4333333333333,5.2332,0.3334485138046483,0.23417721518987342,0.16455696202531644,device,19.0
RPi 4,M,576,0.3,3374.61,303.2,4.9984,0.13616088903353338,0.5066666666666667,0.06666666666666667,device,1.0
Jetson Nano,M,576,2.4,421.7133333333333,1742.0333333333335,8.8259,0.195956045901636,0.8376623376623377,0.12337662337662338,device,2.0
Jetson Nano TRT,M,576,2.6666666666666665,379.72,1161.5,9.0017,0.2536249636735947,0.7012987012987013,0.12337662337662338,device,2.0
Arduino Uno Q,M,576,0.4000000000000001,2500.8766666666666,321.53333333333336,2.9886,0.13616088903353338,0.5066666666666667,0.06666666666666667,device,1.0
