model,imgsz,precision,stride,fps_level,mt_scaled,mt_fixed,mt_delta,idsw_scaled,idsw_fixed,idsw_delta
yolo26n,640,fp32,15,2,0.07792207792207792,0.09090909090909091,0.012987012987012991,0.7207792207792207,0.9090909090909091,0.18831168831168832
yolo26n,640,int8,15,2,0.045454545454545456,0.05194805194805195,0.006493506493506496,0.33766233766233766,0.45454545454545453,0.11688311688311687
yolo26n,576,fp32,15,2,0.06493506493506493,0.08441558441558442,0.019480519480519487,0.6493506493506493,0.8506493506493507,0.2012987012987013
yolo26n,576,int8,15,2,0.045454545454545456,0.05194805194805195,0.006493506493506496,0.34415584415584416,0.474025974025974,0.12987012987012986
yolo26s,640,fp32,15,2,0.11688311688311688,0.14285714285714285,0.02597402597402597,0.8831168831168831,1.0584415584415585,0.17532467532467544
yolo26s,640,int8,15,2,0.07142857142857142,0.09090909090909091,0.019480519480519487,0.5454545454545454,0.7142857142857143,0.1688311688311689
yolo26s,576,fp32,15,2,0.09740259740259741,0.11688311688311688,0.019480519480519473,0.7142857142857143,0.8701298701298701,0.15584415584415579
yolo26s,576,int8,15,2,0.07792207792207792,0.09090909090909091,0.012987012987012991,0.38961038961038963,0.564935064935065,0.17532467532467533
yolo26m,640,fp32,15,2,0.11688311688311688,0.12987012987012986,0.012987012987012977,0.8311688311688312,1.0454545454545454,0.2142857142857142
yolo26m,640,int8,15,2,0.07142857142857142,0.08441558441558442,0.012987012987012991,0.487012987012987,0.6623376623376624,0.17532467532467544
yolo26m,576,fp32,15,2,0.12337662337662338,0.14935064935064934,0.02597402597402597,0.8376623376623377,1.025974025974026,0.18831168831168832
yolo26m,576,int8,15,2,0.06493506493506493,0.07792207792207792,0.012987012987012991,0.487012987012987,0.6883116883116883,0.2012987012987013
yolo26n,640,fp32,30,1,0.06,0.06,0.0,0.52,0.5666666666666667,0.046666666666666634
yolo26n,640,int8,30,1,0.013333333333333334,0.02,0.006666666666666666,0.19333333333333333,0.21333333333333335,0.020000000000000018
yolo26n,576,fp32,30,1,0.05333333333333334,0.05333333333333334,0.0,0.4666666666666667,0.47333333333333333,0.006666666666666654
yolo26n,576,int8,30,1,0.02666666666666667,0.02666666666666667,0.0,0.22,0.24666666666666667,0.026666666666666672
yolo26s,640,fp32,30,1,0.06666666666666667,0.06666666666666667,0.0,0.5866666666666667,0.68,0.09333333333333338
yolo26s,640,int8,30,1,0.06666666666666667,0.08,0.013333333333333336,0.4066666666666667,0.4666666666666667,0.06
yolo26s,576,fp32,30,1,0.08666666666666667,0.09333333333333334,0.006666666666666668,0.56,0.6266666666666667,0.06666666666666665
yolo26s,576,int8,30,1,0.05333333333333334,0.06666666666666667,0.013333333333333329,0.38666666666666666,0.44,0.053333333333333344
yolo26m,640,fp32,30,1,0.07333333333333333,0.08,0.006666666666666668,0.5933333333333334,0.6733333333333333,0.07999999999999996
yolo26m,640,int8,30,1,0.04666666666666667,0.06,0.013333333333333329,0.3466666666666667,0.38,0.033333333333333326
yolo26m,576,fp32,30,1,0.06666666666666667,0.07333333333333333,0.006666666666666668,0.5066666666666667,0.5266666666666666,0.019999999999999907
yolo26m,576,int8,30,1,0.04,0.04,0.0,0.2733333333333333,0.30666666666666664,0.033333333333333326
